Event,Axis,Start,End,Duration_s
Error,axis1,2022-10-17 13:24:13.851000+00:00,2022-10-17 13:24:19.386000+00:00,5.535
Error,axis1,2022-10-17 19:08:56.362000+00:00,2022-10-17 19:09:01.909000+00:00,5.547
Error,axis2,2022-10-17 19:27:18.601000+00:00,2022-10-17 19:27:24.431000+00:00,5.83
Error,axis2,2022-10-17 20:57:45.319000+00:00,2022-10-17 20:57:51.377000+00:00,6.058
Alert,axis2,2022-10-18 07:53:48.213000+00:00,2022-10-18 07:53:56.300000+00:00,8.087
Alert,axis3,2022-10-17 19:01:24.539000+00:00,2022-10-17 19:01:32.002000+00:00,7.463
Error,axis3,2022-10-17 22:21:46.069000+00:00,2022-10-17 22:21:53.741000+00:00,7.672
Error,axis3,2022-10-18 07:07:29.361000+00:00,2022-10-18 07:07:35.095000+00:00,5.734
Alert,axis4,2022-10-17 14:20:13.162000+00:00,2022-10-17 14:20:19.252000+00:00,6.09
Alert,axis4,2022-10-17 21:06:22.353000+00:00,2022-10-17 21:06:28.424000+00:00,6.071
Error,axis5,2022-10-17 13:45:45.322000+00:00,2022-10-17 13:45:51.556000+00:00,6.234
Alert,axis5,2022-10-17 15:33:57.655000+00:00,2022-10-17 15:34:04.183000+00:00,6.5280000000000005
Alert,axis5,2022-10-18 06:51:20.549000+00:00,2022-10-18 06:51:28.112000+00:00,7.563
Alert,axis5,2022-10-18 09:22:11.513000+00:00,2022-10-18 09:22:17.345000+00:00,5.832
Alert,axis6,2022-10-17 12:19:22.005000+00:00,2022-10-17 12:19:27.952000+00:00,5.947
Error,axis6,2022-10-17 20:35:07.233000+00:00,2022-10-17 20:35:12.716000+00:00,5.483
Error,axis6,2022-10-17 23:30:46.910000+00:00,2022-10-17 23:30:52.502000+00:00,5.592
Error,axis6,2022-10-17 23:44:47.527000+00:00,2022-10-17 23:44:53.207000+00:00,5.68
Error,axis7,2022-10-17 12:35:10.249000+00:00,2022-10-17 12:35:15.928000+00:00,5.679
Error,axis7,2022-10-17 13:21:18.471000+00:00,2022-10-17 13:21:24.254000+00:00,5.783
Error,axis7,2022-10-17 13:25:18.156000+00:00,2022-10-17 13:25:23.956000+00:00,5.8
Error,axis7,2022-10-17 13:26:59.099000+00:00,2022-10-17 13:27:04.753000+00:00,5.654
Error,axis7,2022-10-17 14:07:17.158000+00:00,2022-10-17 14:07:22.981000+00:00,5.823
Error,axis7,2022-10-17 14:18:32.698000+00:00,2022-10-17 14:18:38.664000+00:00,5.966
Error,axis7,2022-10-17 14:24:51.143000+00:00,2022-10-17 14:24:56.815000+00:00,5.672
Error,axis7,2022-10-17 14:50:44.563000+00:00,2022-10-17 14:50:50.367000+00:00,5.804
Error,axis7,2022-10-17 14:54:15.447000+00:00,2022-10-17 14:54:21.219000+00:00,5.772
Error,axis7,2022-10-17 18:08:37.118000+00:00,2022-10-17 18:08:43.099000+00:00,5.981
Error,axis7,2022-10-17 18:15:14.065000+00:00,2022-10-17 18:15:19.910000+00:00,5.845
