trait,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,time
current,1.6769,5.455,4.289,1.522,1.7279,0.9877,2.0041,0.2709,2022-10-17 12:18:23.660000+00:00
current,1.1824,5.2964,2.8782,1.0402,1.5246,0.9778,2.8527,0.3653,2022-10-17 12:18:25.551000+00:00
current,1.5644,3.1552,2.5193,0.9213,1.3337,1.3855,2.3821,0.3678,2022-10-17 12:18:27.442000+00:00
current,1.9961,4.4533,2.9445,0.7452,1.2898,1.0347,2.2098,0.3659,2022-10-17 12:18:29.333000+00:00
current,1.0488,3.393,1.9672,0.3386,0.8394,0.4986,2.1315,0.2823,2022-10-17 12:18:31.224000+00:00
current,0.496,1.1084,2.0327,0.4894,0.0998,0.9883,2.0996,0.351,2022-10-17 12:18:33.115000+00:00
current,0.6591,0.0346,1.8118,0.2594,0.0051,1.0075,1.5855,0.2631,2022-10-17 12:18:35.006000+00:00
current,0.6007,0.967,4.5758,0.1483,0.0,0.9583,1.502,0.2983,2022-10-17 12:18:36.897000+00:00
current,0.6865,0.0,4.9682,0.4879,0.0,0.9144,1.9303,0.3802,2022-10-17 12:18:38.788000+00:00
current,0.3774,0.0,5.5017,0.0114,0.0,0.8918,2.4722,0.3723,2022-10-17 12:18:40.679000+00:00
current,0.8995,0.0,4.291,0.3274,0.0,0.8855,2.1423,0.4637,2022-10-17 12:18:42.570000+00:00
current,1.3224,0.0,1.1936,0.9188,0.2169,0.8576,2.1374,0.4648,2022-10-17 12:18:44.461000+00:00
current,1.3743,0.0,0.7393,1.0583,0.3572,1.1178,2.7345,0.5359,2022-10-17 12:18:46.352000+00:00
current,1.9112,0.0,0.0,1.3522,0.3357,0.8423,2.2236,0.5188,2022-10-17 12:18:48.243000+00:00
current,2.0897,2.5298,0.0,2.2579,0.4807,0.6453,2.279,0.647,2022-10-17 12:18:50.134000+00:00
current,1.6374,4.9666,0.6099,2.241,0.0,1.2469,2.0922,0.5462,2022-10-17 12:18:52.025000+00:00
current,1.7976,4.8896,1.2089,2.2826,0.0,1.1369,1.5603,0.4626,2022-10-17 12:18:53.916000+00:00
current,1.3285,6.3296,1.4025,2.5459,0.3459,1.2402,1.9246,0.2944,2022-10-17 12:18:55.807000+00:00
current,1.755,6.4896,0.5751,2.2426,1.5159,1.4547,1.3938,0.267,2022-10-17 12:18:57.698000+00:00
current,1.7101,3.5366,0.0231,1.8884,1.1511,1.3314,1.4738,0.4364,2022-10-17 12:18:59.589000+00:00
current,1.6073,0.5864,0.9332,1.815,1.4811,1.1929,1.4401,0.4257,2022-10-17 12:19:01.480000+00:00
current,1.2856,0.0,3.6905,1.6546,1.3073,1.3725,0.9026,0.4603,2022-10-17 12:19:03.371000+00:00
current,1.8754,0.0,4.0252,1.1875,1.6235,1.7379,1.0063,0.596,2022-10-17 12:19:05.262000+00:00
current,1.7701,0.0,4.4776,0.7418,1.7406,1.9305,1.3063,0.5132,2022-10-17 12:19:07.153000+00:00
current,1.5488,0.0,6.7712,0.3098,1.0583,2.0299,1.1104,0.4169,2022-10-17 12:19:09.044000+00:00
current,1.3849,0.1773,6.4793,0.2224,1.141,1.7702,1.6089,0.5011,2022-10-17 12:19:10.935000+00:00
current,1.6459,1.4749,5.0842,0.0,1.2822,1.3541,2.4951,0.5409,2022-10-17 12:19:12.826000+00:00
current,1.8038,3.0503,5.4466,0.2696,1.2724,1.0514,2.2315,0.5457,2022-10-17 12:19:14.717000+00:00
current,1.9677,1.8197,7.3461,0.8643,0.5499,1.1061,2.3145,0.4938,2022-10-17 12:19:16.608000+00:00
current,2.1235,3.0756,8.1264,1.0714,0.6436,1.524,2.4289,0.5674,2022-10-17 12:19:18.499000+00:00
current,3.0541,1.8019,7.992,0.8351,0.6303,1.7771,1.9966,0.583,2022-10-17 12:19:20.390000+00:00
current,2.7146,3.3794,5.2603,1.6217,0.7073,1.9282,2.1111,0.4718,2022-10-17 12:19:22.281000+00:00
current,2.3601,5.6346,3.2695,1.3752,1.0879,1.8294,2.463,0.5827,2022-10-17 12:19:24.172000+00:00
current,1.9018,6.8481,3.79,1.2115,0.8359,1.5456,2.3065,0.6924,2022-10-17 12:19:26.063000+00:00
current,2.1498,6.4692,3.4159,1.1174,0.9906,1.5804,2.4615,0.7401,2022-10-17 12:19:27.954000+00:00
current,2.6099,7.3436,3.3946,1.4612,1.1039,2.2949,2.3421,0.6317,2022-10-17 12:19:29.845000+00:00
current,2.4499,4.6989,4.6909,1.1523,0.6136,1.6016,3.2445,0.568,2022-10-17 12:19:31.736000+00:00
current,1.9704,1.9503,3.1142,1.7521,0.0,1.6903,3.2356,0.49,2022-10-17 12:19:33.627000+00:00
current,1.5461,3.1133,2.4731,1.0369,0.0,1.8105,3.057,0.5229,2022-10-17 12:19:35.518000+00:00
current,1.8457,5.5342,4.1401,0.8128,0.0315,2.2366,2.4742,0.5158,2022-10-17 12:19:37.409000+00:00
current,2.1581,3.5636,2.6244,1.1682,0.0,2.0958,1.9797,0.5365,2022-10-17 12:19:39.300000+00:00
current,2.3468,3.8273,4.228,2.0252,0.2248,1.4749,2.1141,0.4837,2022-10-17 12:19:41.191000+00:00
current,1.9583,4.7569,4.6776,2.4956,0.519,1.2091,2.0375,0.518,2022-10-17 12:19:43.082000+00:00
current,2.0233,3.8722,4.4937,2.5824,0.3365,1.1504,1.5258,0.6238,2022-10-17 12:19:44.973000+00:00
current,2.0285,3.5256,4.6635,2.1675,1.0565,1.2549,1.3543,0.5986,2022-10-17 12:19:46.864000+00:00
current,2.0803,4.7704,5.0891,1.8589,0.7848,1.6903,1.4334,0.5667,2022-10-17 12:19:48.755000+00:00
current,2.4284,5.0654,5.8265,2.0717,1.721,2.2023,1.3177,0.4818,2022-10-17 12:19:50.646000+00:00
current,2.4425,5.338,3.1789,2.2681,2.0557,1.9069,1.3746,0.3915,2022-10-17 12:19:52.537000+00:00
current,2.6655,3.7942,4.8566,2.0253,2.0255,1.7364,1.8693,0.4321,2022-10-17 12:19:54.428000+00:00
current,2.5838,3.9591,5.1109,1.8059,1.295,1.3166,2.5757,0.3272,2022-10-17 12:19:56.319000+00:00
current,2.6125,3.5081,6.4543,2.1341,0.7267,1.4012,2.8291,0.2041,2022-10-17 12:19:58.210000+00:00
current,2.7965,3.1898,6.7975,2.3255,0.9317,1.2955,2.3091,0.1618,2022-10-17 12:20:00.101000+00:00
current,1.9973,2.5813,9.2402,2.355,0.8873,1.1104,1.8487,0.1798,2022-10-17 12:20:01.992000+00:00
current,1.8036,2.8738,7.8785,1.9978,0.6108,1.1994,1.8038,0.284,2022-10-17 12:20:03.883000+00:00
current,1.5595,1.7627,9.5169,2.0772,0.9529,1.7095,1.6035,0.4472,2022-10-17 12:20:05.774000+00:00
current,1.262,2.2014,7.9446,1.843,1.0033,1.0449,1.586,0.4662,2022-10-17 12:20:07.665000+00:00
current,1.1623,1.98,8.2589,1.7775,0.5586,0.988,1.5803,0.4819,2022-10-17 12:20:09.556000+00:00
current,1.8903,0.854,9.177,1.8001,0.4821,1.2679,1.9323,0.3444,2022-10-17 12:20:11.447000+00:00
current,1.4549,0.0,8.7209,1.9505,0.4837,1.8972,1.6888,0.3088,2022-10-17 12:20:13.338000+00:00
current,1.9103,0.5051,5.893,1.1938,0.8751,2.3174,1.8641,0.2624,2022-10-17 12:20:15.229000+00:00
current,1.0955,2.2694,5.9072,1.5622,0.9452,2.9988,2.7189,0.2092,2022-10-17 12:20:17.120000+00:00
current,0.9849,1.3224,5.1763,1.8697,1.0269,3.164,2.2794,0.3114,2022-10-17 12:20:19.011000+00:00
current,1.1152,2.8994,6.207,2.0646,1.6133,3.2817,2.6633,0.204,2022-10-17 12:20:20.902000+00:00
current,1.4281,1.53,4.9323,2.1177,0.8183,3.4232,2.7313,0.2858,2022-10-17 12:20:22.793000+00:00
current,1.7674,1.4703,4.2075,1.58,1.7328,2.8217,3.1552,0.3677,2022-10-17 12:20:24.684000+00:00
current,2.1108,1.0519,3.3981,1.8822,1.0105,2.2463,3.0799,0.3907,2022-10-17 12:20:26.575000+00:00
current,1.8922,1.0883,3.1131,1.6284,0.4053,1.7264,3.2128,0.2745,2022-10-17 12:20:28.466000+00:00
current,1.643,2.6307,3.3453,1.3542,0.3895,2.1035,3.4437,0.2336,2022-10-17 12:20:30.357000+00:00
current,2.0287,2.3061,4.1523,2.031,0.173,2.1782,2.478,0.2159,2022-10-17 12:20:32.248000+00:00
current,1.8911,2.1157,4.7826,2.0496,1.2055,2.0605,1.8388,0.1353,2022-10-17 12:20:34.139000+00:00
current,1.2663,3.7139,3.1716,1.8834,0.79,2.0421,2.1845,0.227,2022-10-17 12:20:36.030000+00:00
current,0.7697,4.0386,2.2289,1.6549,0.5145,2.3764,1.3971,0.3469,2022-10-17 12:20:37.921000+00:00
current,0.4216,3.2628,1.7238,1.677,0.5769,2.0943,1.4427,0.2971,2022-10-17 12:20:39.812000+00:00
current,0.7627,3.925,1.5602,1.3769,1.4286,2.5909,1.895,0.2892,2022-10-17 12:20:41.703000+00:00
current,0.9059,5.7499,0.7782,0.5085,1.9787,2.1656,1.7304,0.3322,2022-10-17 12:20:43.594000+00:00
current,1.2879,7.4956,0.2175,0.1834,2.0409,2.0556,1.5322,0.2754,2022-10-17 12:20:45.485000+00:00
current,1.1153,5.1767,2.2289,0.2846,1.3998,1.8843,1.6925,0.0982,2022-10-17 12:20:47.376000+00:00
current,1.2306,3.1714,2.8236,0.6461,0.5789,1.6372,2.0362,0.0354,2022-10-17 12:20:49.267000+00:00
current,1.5502,5.0821,1.6214,0.9272,0.2138,1.5495,1.411,0.0675,2022-10-17 12:20:51.158000+00:00
current,1.4059,4.6993,2.3895,1.1829,0.0,1.3117,1.7772,0.0441,2022-10-17 12:20:53.049000+00:00
current,1.6299,1.2295,2.083,0.8752,0.0,1.6113,0.9474,0.2211,2022-10-17 12:20:54.940000+00:00
current,1.3147,0.509,4.584,0.9866,0.0,1.3569,1.4165,0.1768,2022-10-17 12:20:56.831000+00:00
current,1.1692,0.3358,3.7894,1.2458,0.0,1.1947,1.7205,0.2068,2022-10-17 12:20:58.722000+00:00
current,1.0295,0.3867,3.2415,1.49,0.0,0.6734,1.3785,0.3336,2022-10-17 12:21:00.613000+00:00
current,0.5277,2.1932,2.9921,1.2728,0.0,1.3511,1.7659,0.4475,2022-10-17 12:21:02.504000+00:00
current,0.8535,1.0507,1.7736,1.4844,0.0,0.7495,1.2383,0.4194,2022-10-17 12:21:04.395000+00:00
current,0.705,3.0697,2.6046,1.5009,0.0,0.5544,1.0287,0.4574,2022-10-17 12:21:06.286000+00:00
current,0.7938,3.8239,2.8401,1.351,0.2763,1.1255,0.2475,0.3398,2022-10-17 12:21:08.177000+00:00
current,1.0902,1.9343,3.4125,0.9643,0.2043,1.072,0.0951,0.2095,2022-10-17 12:21:10.068000+00:00
current,1.341,1.814,3.5449,0.9062,0.3808,1.2976,0.4094,0.2545,2022-10-17 12:21:11.959000+00:00
current,1.6679,3.0362,3.8554,0.7112,0.0619,0.9962,0.5642,0.4177,2022-10-17 12:21:13.850000+00:00
current,1.6092,3.3924,5.9027,0.4099,0.6898,0.5164,0.7131,0.5271,2022-10-17 12:21:15.741000+00:00
current,1.4064,4.2677,6.4269,0.3715,1.4184,0.542,0.8265,0.5423,2022-10-17 12:21:17.632000+00:00
current,1.3825,3.4762,4.0161,0.3008,1.2159,1.0552,0.6836,0.6422,2022-10-17 12:21:19.523000+00:00
current,0.6184,4.6304,4.4371,1.1705,1.8676,0.5541,0.9556,0.524,2022-10-17 12:21:21.414000+00:00
current,0.0417,4.1114,5.8658,1.4856,1.8133,0.5477,1.0648,0.5054,2022-10-17 12:21:23.305000+00:00
current,0.0,8.4563,2.8703,1.2338,2.1281,0.382,0.9295,0.515,2022-10-17 12:21:25.196000+00:00
current,0.0,6.0497,1.5924,1.6182,2.0381,0.5874,1.8471,0.4306,2022-10-17 12:21:27.087000+00:00
current,0.0,10.4488,2.6106,1.7266,1.886,0.6479,1.1425,0.4,2022-10-17 12:21:28.978000+00:00
current,0.0,8.4448,3.9818,1.2022,1.6192,0.6839,1.0774,0.4251,2022-10-17 12:21:30.869000+00:00
current,0.0,10.2729,4.2349,1.2311,1.8812,0.476,1.0528,0.1878,2022-10-17 12:21:32.760000+00:00
current,0.3176,11.193,4.7874,1.3124,1.2709,1.0113,1.1053,0.3043,2022-10-17 12:21:34.651000+00:00
current,0.2749,9.1826,6.4318,1.2054,1.4047,1.4668,1.0075,0.3502,2022-10-17 12:21:36.542000+00:00
current,0.7417,9.8392,5.5957,0.5756,1.9051,1.2007,1.9694,0.3703,2022-10-17 12:21:38.433000+00:00
